event_num,period,clock,teamTricode,substitutionIn,substitutionOut,raw_event
108,1,PT04M34.00S,OKC,,,"{""actionNumber"": 108, ""clock"": ""PT04M34.00S"", ""timeActual"": ""2025-05-21T01:01:27.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1630198, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""17"", ""scoreAway"": ""16"", ""edited"": ""2025-05-21T01:01:44Z"", ""orderNumber"": 1080000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: I. Joe"", ""playerName"": ""Joe"", ""playerNameI"": ""I. Joe"", ""personIdsFilter"": [1630198]}"
109,1,PT04M34.00S,MIN,,,"{""actionNumber"": 109, ""clock"": ""PT04M34.00S"", ""timeActual"": ""2025-05-21T01:01:27.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1629638, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""17"", ""scoreAway"": ""16"", ""edited"": ""2025-05-21T01:01:44Z"", ""orderNumber"": 1090000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: N. Alexander-Walker"", ""playerName"": ""Alexander-Walker"", ""playerNameI"": ""N. Alexander-Walker"", ""personIdsFilter"": [1629638]}"
124,1,PT03M10.00S,OKC,,,"{""actionNumber"": 124, ""clock"": ""PT03M10.00S"", ""timeActual"": ""2025-05-21T01:06:57.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1629652, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""17"", ""scoreAway"": ""19"", ""edited"": ""2025-05-21T01:07:05Z"", ""orderNumber"": 1240000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: L. Dort"", ""playerName"": ""Dort"", ""playerNameI"": ""L. Dort"", ""personIdsFilter"": [1629652]}"
125,1,PT03M10.00S,MIN,,,"{""actionNumber"": 125, ""clock"": ""PT03M10.00S"", ""timeActual"": ""2025-05-21T01:06:57.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1630183, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""17"", ""scoreAway"": ""19"", ""edited"": ""2025-05-21T01:07:05Z"", ""orderNumber"": 1250000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: J. McDaniels"", ""playerName"": ""McDaniels"", ""playerNameI"": ""J. McDaniels"", ""personIdsFilter"": [1630183]}"
126,1,PT03M10.00S,OKC,,,"{""actionNumber"": 126, ""clock"": ""PT03M10.00S"", ""timeActual"": ""2025-05-21T01:06:57.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1627936, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""17"", ""scoreAway"": ""19"", ""edited"": ""2025-05-21T01:07:05Z"", ""orderNumber"": 1260000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: A. Caruso"", ""playerName"": ""Caruso"", ""playerNameI"": ""A. Caruso"", ""personIdsFilter"": [1627936]}"
127,1,PT03M10.00S,MIN,,,"{""actionNumber"": 127, ""clock"": ""PT03M10.00S"", ""timeActual"": ""2025-05-21T01:06:57.0Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1641740, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""17"", ""scoreAway"": ""19"", ""edited"": ""2025-05-21T01:07:05Z"", ""orderNumber"": 1270000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: J. Clark"", ""playerName"": ""Clark"", ""playerNameI"": ""J. Clark"", ""personIdsFilter"": [1641740]}"
143,1,PT01M52.00S,OKC,,,"{""actionNumber"": 143, ""clock"": ""PT01M52.00S"", ""timeActual"": ""2025-05-21T01:09:45.7Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1631096, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""17"", ""scoreAway"": ""20"", ""edited"": ""2025-05-21T01:09:48Z"", ""orderNumber"": 1420000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: C. Holmgren"", ""playerName"": ""Holmgren"", ""playerNameI"": ""C. Holmgren"", ""personIdsFilter"": [1631096]}"
144,1,PT01M52.00S,OKC,,,"{""actionNumber"": 144, ""clock"": ""PT01M52.00S"", ""timeActual"": ""2025-05-21T01:09:45.7Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1629026, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""17"", ""scoreAway"": ""20"", ""edited"": ""2025-05-21T01:09:48Z"", ""orderNumber"": 1430000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: K. Williams"", ""playerName"": ""Williams"", ""playerNameI"": ""K. Williams"", ""personIdsFilter"": [1629026]}"
162,1,PT00M19.70S,MIN,,,"{""actionNumber"": 162, ""clock"": ""PT00M19.70S"", ""timeActual"": ""2025-05-21T01:12:48.8Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1629675, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:12:54Z"", ""orderNumber"": 1610000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: N. Reid"", ""playerName"": ""Reid"", ""playerNameI"": ""N. Reid"", ""personIdsFilter"": [1629675]}"
163,1,PT00M19.70S,MIN,,,"{""actionNumber"": 163, ""clock"": ""PT00M19.70S"", ""timeActual"": ""2025-05-21T01:12:48.8Z"", ""period"": 1, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [], ""personId"": 1630183, ""x"": null, ""y"": null, ""possession"": 1610612750, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:12:54Z"", ""orderNumber"": 1620000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: J. McDaniels"", ""playerName"": ""McDaniels"", ""playerNameI"": ""J. McDaniels"", ""personIdsFilter"": [1630183]}"
169,2,PT12M00.00S,OKC,,,"{""actionNumber"": 169, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [""startperiod""], ""personId"": 1628983, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1680000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: S. Gilgeous-Alexander"", ""playerName"": ""Gilgeous-Alexander"", ""playerNameI"": ""S. Gilgeous-Alexander"", ""personIdsFilter"": [1628983]}"
170,2,PT12M00.00S,OKC,,,"{""actionNumber"": 170, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [""startperiod""], ""personId"": 1630198, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1690000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: I. Joe"", ""playerName"": ""Joe"", ""playerNameI"": ""I. Joe"", ""personIdsFilter"": [1630198]}"
171,2,PT12M00.00S,OKC,,,"{""actionNumber"": 171, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [""startperiod""], ""personId"": 1629026, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1700000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: K. Williams"", ""playerName"": ""Williams"", ""playerNameI"": ""K. Williams"", ""personIdsFilter"": [1629026]}"
172,2,PT12M00.00S,MIN,,,"{""actionNumber"": 172, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [""startperiod""], ""personId"": 1630162, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1710000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: A. Edwards"", ""playerName"": ""Edwards"", ""playerNameI"": ""A. Edwards"", ""personIdsFilter"": [1630162]}"
173,2,PT12M00.00S,MIN,,,"{""actionNumber"": 173, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [""startperiod""], ""personId"": 1641740, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1720000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: J. Clark"", ""playerName"": ""Clark"", ""playerNameI"": ""J. Clark"", ""personIdsFilter"": [1641740]}"
174,2,PT12M00.00S,MIN,,,"{""actionNumber"": 174, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [""startperiod""], ""personId"": 1630183, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1730000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: J. McDaniels"", ""playerName"": ""McDaniels"", ""playerNameI"": ""J. McDaniels"", ""personIdsFilter"": [1630183]}"
175,2,PT12M00.00S,OKC,,,"{""actionNumber"": 175, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [""startperiod""], ""personId"": 1631114, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1740000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: J. Williams"", ""playerName"": ""Williams"", ""playerNameI"": ""J. Williams"", ""personIdsFilter"": [1631114]}"
176,2,PT12M00.00S,OKC,,,"{""actionNumber"": 176, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [""startperiod""], ""personId"": 1630598, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1750000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: A. Wiggins"", ""playerName"": ""Wiggins"", ""playerNameI"": ""A. Wiggins"", ""personIdsFilter"": [1630598]}"
177,2,PT12M00.00S,OKC,,,"{""actionNumber"": 177, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [""startperiod""], ""personId"": 1628392, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1760000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: I. Hartenstein"", ""playerName"": ""Hartenstein"", ""playerNameI"": ""I. Hartenstein"", ""personIdsFilter"": [1628392]}"
178,2,PT12M00.00S,MIN,,,"{""actionNumber"": 178, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [""startperiod""], ""personId"": 201144, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1770000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: M. Conley"", ""playerName"": ""Conley"", ""playerNameI"": ""M. Conley"", ""personIdsFilter"": [201144]}"
179,2,PT12M00.00S,MIN,,,"{""actionNumber"": 179, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [""startperiod""], ""personId"": 203497, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1780000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: R. Gobert"", ""playerName"": ""Gobert"", ""playerNameI"": ""R. Gobert"", ""personIdsFilter"": [203497]}"
180,2,PT12M00.00S,MIN,,,"{""actionNumber"": 180, ""clock"": ""PT12M00.00S"", ""timeActual"": ""2025-05-21T01:14:11.0Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612750, ""teamTricode"": ""MIN"", ""actionType"": ""substitution"", ""subType"": ""in"", ""qualifiers"": [""startperiod""], ""personId"": 203944, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""20"", ""scoreAway"": ""23"", ""edited"": ""2025-05-21T01:17:06Z"", ""orderNumber"": 1790000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB in: J. Randle"", ""playerName"": ""Randle"", ""playerNameI"": ""J. Randle"", ""personIdsFilter"": [203944]}"
242,2,PT07M01.00S,OKC,,,"{""actionNumber"": 242, ""clock"": ""PT07M01.00S"", ""timeActual"": ""2025-05-21T01:28:00.6Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1627936, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""29"", ""scoreAway"": ""33"", ""edited"": ""2025-05-21T01:28:19Z"", ""orderNumber"": 2390000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: A. Caruso"", ""playerName"": ""Caruso"", ""playerNameI"": ""A. Caruso"", ""personIdsFilter"": [1627936]}"
243,2,PT07M01.00S,OKC,,,"{""actionNumber"": 243, ""clock"": ""PT07M01.00S"", ""timeActual"": ""2025-05-21T01:28:00.6Z"", ""period"": 2, ""periodType"": ""REGULAR"", ""teamId"": 1610612760, ""teamTricode"": ""OKC"", ""actionType"": ""substitution"", ""subType"": ""out"", ""qualifiers"": [], ""personId"": 1631114, ""x"": null, ""y"": null, ""possession"": 1610612760, ""scoreHome"": ""29"", ""scoreAway"": ""33"", ""edited"": ""2025-05-21T01:28:19Z"", ""orderNumber"": 2400000, ""isTargetScoreLastPeriod"": false, ""xLegacy"": null, ""yLegacy"": null, ""isFieldGoal"": 0, ""side"": null, ""description"": ""SUB out: J. Williams"", ""playerName"": ""Williams"", ""playerNameI"": ""J. Williams"", ""personIdsFilter"": [1631114]}"
